City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,mataura,-46.1927,168.8643,283.42,75,100,2.57,NZ,1670091370
85,ponta do sol,32.6667,-17.1,290.77,78,64,5.1,PT,1670091486
86,atuona,-9.8,-139.0333,298.84,68,74,8.77,PF,1670090921
87,kapaa,22.0752,-159.319,297.14,88,28,1.34,US,1670091487
88,lethem,3.3803,-59.7968,303.86,59,100,2.68,GY,1670091487
89,klaksvik,62.2266,-6.589,279.66,96,100,1.14,FO,1670090999
90,kodiak,57.79,-152.4072,266.88,79,0,3.09,US,1670091046
91,bulaevo,54.9056,70.4439,251.69,87,26,2.2,KZ,1670091170
92,omboue,-1.5746,9.2618,298.4,88,100,2.12,GA,1670091153
93,sao filipe,14.8961,-24.4956,295.91,62,97,3.19,CV,1670091488
94,vaini,-21.2,-175.2,298.24,94,75,0.51,TO,1670090897
95,presidencia roque saenz pena,-26.7852,-60.4388,308.42,17,0,3.49,AR,1670091489
96,pleshanovo,52.8333,53.4833,255.67,84,3,2.07,RU,1670091489
97,roald,62.5833,6.1333,277.46,75,49,6.17,NO,1670091490
98,cidreira,-30.1811,-50.2056,298.07,84,95,3.32,BR,1670091490
99,severo-kurilsk,50.6789,156.125,269.16,80,84,2.42,RU,1670091490
100,lumberton,34.6182,-79.0086,297.54,60,100,3.09,US,1670091491
101,salalah,17.0151,54.0924,298.2,69,20,2.06,OM,1670091492
102,port elizabeth,-33.918,25.5701,291.66,81,20,2.06,ZA,1670091472
103,russell,32.3502,-85.1999,297.75,68,20,2.06,US,1670091492
104,monte alegre de sergipe,-10.0272,-37.5622,301.96,53,94,5.32,BR,1670091492
105,mahebourg,-20.4081,57.7,296.07,68,24,3.41,MU,1670090934
106,butaritari,3.0707,172.7902,300.61,76,9,7.9,KI,1670091432
107,barrow,71.2906,-156.7887,267.16,58,100,4.12,US,1670090856
108,lebu,-37.6167,-73.65,290.6,72,34,5.28,CL,1670090986
109,mar del plata,-38.0023,-57.5575,301.39,72,0,6.17,AR,1670091493
110,kawalu,-7.3817,108.2082,295.16,95,78,0.46,ID,1670091494
111,nikolskoye,59.7035,30.7861,269.09,91,100,3.19,RU,1670091067
